Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 16 Oct 2020 17:10:00 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1919-0007-AIA,1919,0007,Natural,Biological,Epidemic,Viral disease,,,SigDis,Anguilla,AIA,Caribbean,Americas,,,,,,,,,,Vaccinated,,,,,1919,1,,1919,1,,,,,,,,,,"6,796734641"
1919-9006-AIA,1919,9006,Natural,Climatological,Drought,Drought,,,,Anguilla,AIA,Caribbean,Americas,,,,,,,,,,Km2,,,,,1919,,,1923,,,,,,,,,,,"6,796734641"
1920-0012-AIA,1920,0012,Natural,Biological,Epidemic,Viral disease,,,SigDis,Anguilla,AIA,Caribbean,Americas,,,,,,,,,,Vaccinated,,,,,1920,1,,1920,1,,,,,,,,,,"7,8534246715"
1921-0005-AIA,1921,0005,Natural,Biological,Epidemic,Viral disease,,,SigDis,Anguilla,AIA,Caribbean,Americas,,,,,,,,,,Vaccinated,,,,,1921,1,,1921,1,,,,,,,,,,"6,99241798"
1922-0001-CHL,1922,0001,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Chile,CHL,South America,Americas,Atacama,,Tsunami/Tidal wave,,,,,,9,Richter,-28.553,-70.755,00:32,,1922,11,11,1922,11,11,1000,,,,,,,,"6,5619146342"
1922-0010-AIA,1922,0010,Natural,Biological,Epidemic,Viral disease,,,SigDis,Anguilla,AIA,Caribbean,Americas,,,,,,,,,,Vaccinated,,,,,1922,1,,1922,1,,,,,,,,,,"6,5619146342"
1922-0011-CAN,1922,0011,Natural,Climatological,Wildfire,Forest fire,,,Kill,Canada,CAN,Northern America,Americas,"Haileybury, Ontario",,,,,,,,5179,Km2,,,,,1922,9,30,1922,9,30,43,,,11000,11000,,,8000,"6,5619146342"
1923-0017-AIA,1923,0017,Natural,Biological,Epidemic,Viral disease,,,SigDis,Anguilla,AIA,Caribbean,Americas,,,,,,,,,,Vaccinated,,,,,1923,1,,1923,1,,,,,,,,,,"6,6793246376"
1924-0005-ECU,1924,0005,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Ecuador,ECU,South America,Americas,Chimborazo,,,,,,,,7,Richter,-1.29,-78.52,03:01,,1924,3,3,1924,3,3,40,,,,,,,,"6,7184613054"
1926-0009-BHS,1926,0009,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Bahamas (the),BHS,Caribbean,Americas,Nassau,,,,,,,,,Kph,,,,,1926,7,26,1926,7,26,,,,,,,,,"6,9402357562"
1926-0013-COL,1926,0013,Natural,Hydrological,Landslide,Landslide,,,Kill,Colombia,COL,South America,Americas,Pereira,,,,,,,,,,,,,,1926,11,5,1926,11,5,100,,,,,,,,"6,9402357562"
