Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 15 Oct 2020 02:11:23 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1997-0237-ESP,1997,0237,Natural,Hydrological,Flood,Riverine flood,,,Affect,Spain,ESP,Southern Europe,Europe,"Alicante, Almeria, Murcia, Valencia provinces",Heavy rain,,,,No,No,,,Km2,,,,,1997,9,28,1997,10,1,5,,400,,400,,,,"62,7858352045"
1997-0540-ESP,1997,0540,Natural,Biological,Epidemic,Bacterial disease,,Meningococcal disease,Affected,Spain,ESP,Southern Europe,Europe,,,,,,No,No,,,Vaccinated,,,,,1997,2,,1997,2,,,,1383,,1383,,,,"62,7858352045"
1997-0006-FRA,1997,0006,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,France,FRA,Western Europe,Europe,South,,,,,,,,,°C,,,,,1997,1,4,1997,1,4,23,,10000,,10000,,,,"62,7858352045"
1997-0159-FRA,1997,0159,Natural,Climatological,Wildfire,Forest fire,,,Affect,France,FRA,Western Europe,Europe,Near Marseille,,,,,,,,3000,Km2,,,,,1997,7,26,1997,7,26,,9,1250,,1259,,,,"62,7858352045"
1997-9105-FRA,1997,9105,Natural,Climatological,Drought,Drought,,,SigDam,France,FRA,Western Europe,Europe,,,,,,No,No,,,Km2,,,,,1997,4,,1997,,,,,,,,,,10000,"62,7858352045"
1997-0340-GBR,1997,0340,Natural,Hydrological,Flood,Riverine flood,,,SigDam,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Moray (Scotland),Heavy rain,,,,No,No,,,Km2,,,,,1997,7,1,1997,7,2,1,,,,,,,98400,"62,7858352045"
1997-0004-GBR,1997,0004,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,,°C,,,,,1997,12,4,1997,12,4,14,,,,,,,,"62,7858352045"
1997-0350-GBR,1997,0350,Natural,Hydrological,Flood,,,,SigDam,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Scotland,,,,,,,,,Km2,,,,,1997,8,13,1997,8,13,,,,,,,,150000,"62,7858352045"
1997-0555-GRC,1997,0555,Natural,Hydrological,Flood,,,,SigDam,Greece,GRC,Southern Europe,Europe,"Larissa city (Larisis district, Thessalia province) Athens city (Attikis district, Attiki province) Patra city (Achaias district, Dytiki province) Corinth city (Korinthias district, Peloponnisos province)",,,,,,,,,Km2,,,,,1997,1,12,1997,1,13,9,,,,,,,160000,"62,7858352045"
1997-0157-HRV,1997,0157,Natural,Climatological,Wildfire,Forest fire,,,Declar,Croatia,HRV,Southern Europe,Europe,Hvar Is.,,,,,,,,30,Km2,,,,,1997,7,29,1997,7,29,,,,,,,,,"62,7858352045"
1997-0154-HUN,1997,0154,Natural,Hydrological,Flood,Riverine flood,,,Affect,Hungary,HUN,Eastern Europe,Europe,,,,,,No,No,,,Km2,,,,,1997,7,4,1997,8,9,,,,,,,,10000,"62,7858352045"
1997-0228-ITA,1997,0228,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Italy,ITA,Southern Europe,Europe,"Umbria, Marche regions",,,,,No,No,,6,Richter,43.0 N,13.0 E,1:33,,1997,9,26,1997,10,3,14,100,,38000,38100,,4100,4524900,"62,7858352045"
1997-9105-ITA,1997,9105,Natural,Climatological,Drought,Drought,,,SigDam,Italy,ITA,Southern Europe,Europe,,,,,,No,No,,,Km2,,,,,1997,4,,1997,,,,,,,,,,800000,"62,7858352045"
1997-0278-ITA,1997,0278,Natural,Meteorological,Storm,,,,Kill,Italy,ITA,Southern Europe,Europe,Central and Southern Region,,,,,,,,,Kph,,,,,1997,11,23,1997,11,23,22,,,,,,,,"62,7858352045"
1997-0522-MDA,1997,0522,Natural,Hydrological,Flood,,,,Affect,Moldova (the Republic of),MDA,Eastern Europe,Europe,,,,,,No,No,20,90,Km2,,,,,1997,7,6,1997,7,29,9,,2148,96,2244,,,50000,"62,7858352045"
1997-0125-NLD,1997,0125,Natural,Meteorological,Storm,,,,Affect,Netherlands (the),NLD,Western Europe,Europe,Ijsselmeer,,,,,,,,95,Kph,,,,,1997,6,8,1997,6,8,2,40,60,,100,,,,"62,7858352045"
1997-0143-POL,1997,0143,Natural,Hydrological,Flood,Riverine flood,,,Kill,Poland,POL,Eastern Europe,Europe,"Katowice, Opole, Walbrzych, Raciborz, Wroclaw, Slubice",Heavy rains,,,Yes,Yes,No,26704,34950,Km2,,,,Oder,1997,7,3,1997,8,9,55,,162500,62000,224500,,450000,3500000,"62,7858352045"
1997-0007-POL,1997,0007,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Poland,POL,Eastern Europe,Europe,,,,,,,,,-37,°C,,,,,1997,1,4,1997,1,4,50,,,,,,,,"62,7858352045"
1997-9105-PRT,1997,9105,Natural,Climatological,Drought,Drought,,,SigDam,Portugal,PRT,Southern Europe,Europe,,,,,,No,No,,,Km2,,,,,1997,4,,1997,,,,,,,,,,10000,"62,7858352045"
1997-0166-ROU,1997,0166,Natural,Hydrological,Flood,Riverine flood,,,Kill,Romania,ROU,Eastern Europe,Europe,"Alba, Arad, Bihor, Bistrita-Nasaud, Botosani, Braila, Buzau, Dimbovita, Galati, Hundedoara, Maramures, Mures, Sibiu, Timis, Tulcea, Vaskui, Vrancea, Prahova, Bacau, Iasi, Suceava, Teleorman, Olt, Dolj, Caras-Severin",Heavy rain,,,,No,No,410,2951,Km2,,,,,1997,7,4,1997,8,9,20,,,122320,122320,,,110000,"62,7858352045"
1997-0335-ROU,1997,0335,Natural,Meteorological,Storm,,,,Kill,Romania,ROU,Eastern Europe,Europe,Oltenia,,,,,,,,,Kph,,,,,1997,6,20,1997,6,20,12,60,,,60,,,,"62,7858352045"
1998-0119-ITA,1998,0119,Natural,Hydrological,Landslide,,,,Kill,Italy,ITA,Southern Europe,Europe,Campania Region,Heavy rain,"Slide (land, mud, snow, rock)",,,No,No,,,,,,,,1998,5,1,1998,5,7,160,,3463,219,3682,,,28700,"63,7604552374"
1998-0193-ROU,1998,0193,Natural,Hydrological,Flood,Riverine flood,,,Kill,Romania,ROU,Eastern Europe,Europe,"Bacau, Vaslui, Vrancea (Northetn Moldavia), Salaj, Mures, Neamt, Cluj, Alba, Sibiu, Hundoara (Transylvania)",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,No,No,2270,1030,Km2,,,,,1998,6,15,1998,6,30,31,,12000,,12000,,,150000,"63,7604552374"
1998-0230-GRC,1998,0230,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Affect,Greece,GRC,Southern Europe,Europe,"Central, North and South",,Heat wave,,,No,No,,,Km2,,,,,1998,6,,1998,8,,14,,,300,300,,,675000,"63,7604552374"
1998-0231-ESP,1998,0231,Natural,Climatological,Wildfire,Forest fire,,,Affect,Spain,ESP,Southern Europe,Europe,Catalonia,,,,,No,No,,270,Km2,,,,,1998,7,,1998,7,,,,600,,600,,,42108,"63,7604552374"
1998-0038-FRA,1998,0038,Natural,Hydrological,Landslide,Avalanche,,,SigDis,France,FRA,Western Europe,Europe,Alps,,,,,,,,,,,,,,1998,1,24,1998,1,24,9,21,,,21,,,,"63,7604552374"
1998-0007-GBR,1998,0007,Natural,Meteorological,Storm,Extra-tropical storm,,"Cilly, Désirée et Fanny",Regional,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,South Wales,,,,,No,No,,185,Kph,,,,,1998,1,1,1998,1,6,15,,3000,,3000,,320000,500000,"63,7604552374"
1998-0023-GRC,1998,0023,Natural,Hydrological,Flood,,,,Affect,Greece,GRC,Southern Europe,Europe,"Lesvos Isl. (Lesvou district, Voreio Aigaio province)",,,,,,,,,Km2,,,,,1998,2,3,1998,2,3,3,,900,,900,,,,"63,7604552374"
1998-0078-ITA,1998,0078,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Italy,ITA,Southern Europe,Europe,Gualdo Tadino-Nocera Umbra area (Central),,,,,,,,5,Richter,43.164,12.701,09:26,,1998,4,3,1998,4,3,,5,900,,905,,,,"63,7604552374"
1998-0204-ITA,1998,0204,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Italy,ITA,Southern Europe,Europe,Calabria,,,,,,,,46,°C,,,,,1998,7,4,1998,7,4,10,,,,,,,,"63,7604552374"
1998-0293-NLD,1998,0293,Natural,Hydrological,Flood,Riverine flood,,,Affect,Netherlands (the),NLD,Western Europe,Europe,Delfland and Den Hague Region,,,,,No,No,,,Km2,,,,,1998,9,12,1998,9,14,,,2000,,2000,,2000,530000,"63,7604552374"
1998-0225-POL,1998,0225,Natural,Hydrological,Flood,Riverine flood,,,Affect,Poland,POL,Eastern Europe,Europe,Kedzko region,Heavy rain,,,,No,No,,,Km2,,,,,1998,7,23,1998,7,27,9,,1200,,1200,,,,"63,7604552374"
1998-0378-POL,1998,0378,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Poland,POL,Eastern Europe,Europe,,,,,,,,,-26,°C,,,,,1998,11,29,1998,11,29,64,,,,,,,,"63,7604552374"
1998-0250-ROU,1998,0250,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Romania,ROU,Eastern Europe,Europe,,,,,,,,,39,°C,,,,,1998,8,3,1998,8,3,20,,,,,,,,"63,7604552374"
1994-0775-RUS,1994,0775,Natural,Hydrological,Flood,Riverine flood,,,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,Bashkortosan (Ural mountains),Heavy rains,Broken Dam/Burst bank,,,No,No,,,Km2,,,,"Tirlyan reservoirs, Belaya",1994,8,5,1994,8,8,20,,1000,,1000,,,19000,"57,9779742381"
1994-0218-RUS,1994,0218,Natural,Hydrological,Flood,Riverine flood,,,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,"Olginskiy, Lazovskiy (Primorskij region), Vladisvotok",Heavy rain,,,Yes,No,No,,25000,Km2,,,,"Ussuri, Lazovka, Avakumovka",1994,9,17,1994,9,26,18,,775000,429,775429,,,262000,"57,9779742381"
1994-0758-RUS,1994,0758,Natural,Hydrological,Flood,Riverine flood,,,Affect,Russian Federation (the),RUS,Eastern Europe,Europe,Volga delta (Kalmykia republic),Heavy rain,,,,No,No,,,Km2,,,,,1994,3,17,1994,3,22,7,,1000,,1000,,,,"57,9779742381"
1994-0163-RUS,1994,0163,Natural,Meteorological,Storm,Tropical cyclone,,Tim,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,,,,,,No,No,,,Kph,,,,,1994,7,10,1994,7,11,,,,,,,,60000,"57,9779742381"
1994-0309-RUS,1994,0309,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,Moscou,,,,,,,,-30,°C,,,,,1994,12,,1994,12,,42,,,,,,,,"57,9779742381"
1994-0638-UKR,1994,0638,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Ukraine,UKR,Eastern Europe,Europe,,,,,Yes,,,,,Vaccinated,,,,,1994,1,1,1994,1,1,71,,1333,,1333,,,,"57,9779742381"
1995-0359-RUS,1995,0359,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,Moscou,,,,,,,,,°C,,,,,1995,11,1,1995,11,1,208,108,,,108,,,,"59,6044948945"
1995-0363-RUS,1995,0363,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,Moscou,,,,,,,,,°C,,,,,1995,6,14,1995,6,14,20,,,,,,,,"59,6044948945"
1995-0125-RUS,1995,0125,Natural,Biological,Epidemic,Bacterial disease,,,Affect,Russian Federation (the),RUS,Eastern Europe,Europe,Baltic States,,,,,,,,,Vaccinated,,,,,1995,6,19,1995,6,19,,,150000,,150000,,,,"59,6044948945"
1995-0040-RUS,1995,0040,Natural,Meteorological,Storm,,,,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,Caspian Sea (Kalmyk Republic),,,,,,,,,Kph,,,,,1995,3,15,1995,3,15,52,,900,1200,2100,,,,"59,6044948945"
1995-0239-RUS,1995,0239,Natural,Hydrological,Landslide,,,,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,Nazran Region,,,,,,,,,,,,,,1995,9,28,1995,9,28,17,,,,,,,,"59,6044948945"
1995-0175-UKR,1995,0175,Natural,Hydrological,Flood,Riverine flood,,,Declar,Ukraine,UKR,Eastern Europe,Europe,Kharkov,,,,Yes,,,285,,Km2,,,,,1995,6,29,1995,6,29,,,1700000,,1700000,,,,"59,6044948945"
1995-0320-UKR,1995,0320,Natural,Biological,Epidemic,Bacterial disease,,,Kill,Ukraine,UKR,Eastern Europe,Europe,,,,,,,,,,Vaccinated,,,,,1995,1,,1995,1,,204,,5336,,5336,,,,"59,6044948945"
1996-0359-RUS,1996,0359,Natural,Hydrological,Flood,Riverine flood,,,Affected,Russian Federation (the),RUS,Eastern Europe,Europe,Irkoutsk region (Siberia),Heavy rains,,,,No,No,,614000,Km2,,,,,1996,7,3,1996,7,7,,,220000,,220000,,,158400,"61,3516297284"
1996-0294-RUS,1996,0294,Natural,Hydrological,Landslide,Avalanche,,,Affect,Russian Federation (the),RUS,Eastern Europe,Europe,"South, Caucasus Mountains",,,,,,,,,,,,,,1996,12,29,1996,12,29,,,300,,300,,,,"61,3516297284"
1996-0100-RUS,1996,0100,Natural,Climatological,Wildfire,Forest fire,,,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,Irkoutz (Siberia),,,,,No,No,,80000,Km2,,,,,1996,5,,1996,5,,19,,,600,600,,,,"61,3516297284"
1996-0475-UKR,1996,0475,Natural,Hydrological,Flood,Riverine flood,,,Affected,Ukraine,UKR,Eastern Europe,Europe,"Luhanska, Rivnenska, Khmalnitska provinces",Snowmelt,,,,No,No,,,Km2,,,,Prypyat river,1996,4,3,1996,4,10,,,10000,,10000,,,,"61,3516297284"
1997-0564-RUS,1997,0564,Natural,Hydrological,Flood,Riverine flood,,,Affected,Russian Federation (the),RUS,Eastern Europe,Europe,Krasny (Akskaisky region),Heavy rain,,,,No,No,,12910,Km2,,,,,1997,4,15,1997,4,17,2,,500,,500,,,174100,"62,7858352045"
1997-0291-RUS,1997,0291,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,Moscow,,,,,,,,-28,°C,,,,,1997,12,17,1997,12,17,22,,,,,,,,"62,7858352045"
1997-0113-RUS,1997,0113,Natural,Climatological,Wildfire,Forest fire,,,Unknown,Russian Federation (the),RUS,Eastern Europe,Europe,Irkutsk & Chita Region,,,,,,,,72,Km2,,,,,1997,5,9,1997,5,9,,,,,,,,,"62,7858352045"
1997-0194-RUS,1997,0194,Natural,Climatological,Wildfire,Forest fire,,,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,"Altay Territory, Siberia",,,,,,,,100,Km2,,,,,1997,7,14,1997,7,14,14,,,,,,,,"62,7858352045"
1997-0510-RUS,1997,0510,Natural,Biological,Epidemic,Viral disease,,Haemorrhagic fever with renal syndrome,Affect,Russian Federation (the),RUS,Eastern Europe,Europe,"Bashkiria,Orenburg",,,,,,,,,Vaccinated,,,,,1997,12,17,1997,12,17,,,4538,,4538,,,,"62,7858352045"
1997-0154-SVK,1997,0154,Natural,Hydrological,Flood,Riverine flood,,,Affect,Slovakia,SVK,Eastern Europe,Europe,,,,,,No,No,,,Km2,,,,,1997,7,4,1997,8,9,,,,,,,,60000,"62,7858352045"
1997-0154-UKR,1997,0154,Natural,Hydrological,Flood,Riverine flood,,,Affect,Ukraine,UKR,Eastern Europe,Europe,,,,,,No,No,,,Km2,,,,,1997,7,4,1997,8,9,,,,,,,,17000,"62,7858352045"
1997-0200-UKR,1997,0200,Natural,Meteorological,Storm,Tropical cyclone,,,Affect,Ukraine,UKR,Eastern Europe,Europe,,,,,,No,No,,,Kph,,,,,1997,6,23,1997,6,24,11,,,,,,,34000,"62,7858352045"
1997-0505-UKR,1997,0505,Natural,Biological,Epidemic,Bacterial disease,,,Affect,Ukraine,UKR,Eastern Europe,Europe,,,,,,,,,,Vaccinated,,,,,1997,11,12,1997,11,12,,,102,,102,,,,"62,7858352045"
1998-0601-DEU,1998,0601,Natural,Meteorological,Storm,,,Xylia,SigDam,Germany,DEU,Western Europe,Europe,"Main, Tauber, Moselle, Baden-Baden",,Flood,,,No,No,,,Kph,,,,,1998,10,27,1998,11,2,3,15,,,15,,90000,150000,"63,7604552374"
1998-0166-RUS,1998,0166,Natural,Hydrological,Flood,Riverine flood,,,Affect,Russian Federation (the),RUS,Eastern Europe,Europe,"Lenks, Sibary",,,,,,,,,Km2,,,,,1998,5,17,1998,5,17,,,20000,,20000,,,,"63,7604552374"
1998-0179-RUS,1998,0179,Natural,Hydrological,Flood,Riverine flood,,,Kill,Russian Federation (the),RUS,Eastern Europe,Europe,Sakha-Yakutia region (Siberia),Ici jam,,,Yes,Yes,No,1549,,Km2,,,,,1998,5,16,1998,6,6,13,,42600,36000,78600,,,3500,"63,7604552374"
1998-0300-RUS,1998,0300,Natural,Climatological,Wildfire,Forest fire,,,Affect,Russian Federation (the),RUS,Eastern Europe,Europe,Sakhalin Isl.,,,,Yes,No,No,744,5000,Km2,,,,,1998,7,20,1998,10,21,3,,100000,683,100683,,,270000,"63,7604552374"
1998-0121-RUS,1998,0121,Natural,Hydrological,Flood,,,,Affect,Russian Federation (the),RUS,Eastern Europe,Europe,Veliky Ustyung,,,,,,,,,Km2,,,,,1998,5,7,1998,5,7,,,3500,,3500,,,,"63,7604552374"
1998-0194-RUS,1998,0194,Natural,Meteorological,Storm,,,,Affect,Russian Federation (the),RUS,Eastern Europe,Europe,Moscow,,,,,No,No,,108,Kph,,,,,1998,6,20,1998,6,21,8,160,,,160,,,160000,"63,7604552374"
1998-0224-SVK,1998,0224,Natural,Hydrological,Flood,Riverine flood,,,Kill,Slovakia,SVK,Eastern Europe,Europe,"Sabinov, Presov districts",Brief torrential rain,,,,No,No,,,Km2,,,,Branisko Mala Svinka Svinka Zehrica an Torysa rivers,1998,7,20,1998,7,24,54,61,10850,756,11667,,3000,45000,"63,7604552374"
1998-0110-SVN,1998,0110,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Slovenia,SVN,Southern Europe,Europe,"Bovec, Trenta, Kobarid, Tolmin, Bojinj, Jesenice",,,,Yes,,,50,6,Richter,46.245,13.652,12:55,,1998,4,12,1998,4,12,,,,700,700,,,,"63,7604552374"
1998-0359-UKR,1998,0359,Natural,Hydrological,Flood,Riverine flood,,,Kill,Ukraine,UKR,Eastern Europe,Europe,"Tyachev, Rahi, Vinogradi, Mukachevo, Khust Perechin, Svalyava, Irshave, Uzhgoro districts (Transcarpathian) + Mukachevo, Khust cities",,,,Yes,,,2920,1000,Km2,,,,,1998,11,8,1998,11,8,18,230,,24340,24570,,,1259,"63,7604552374"
1998-0584-ALB,1998,0584,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Albania,ALB,Southern Europe,Europe,"Kukes, Peshkopi",,,,,,,,5,Richter,41.925,20.39,01:24,,1998,10,1,1998,10,1,,,2100,,2100,,,,"63,7604552374"
1998-0436-BEL,1998,0436,Natural,Meteorological,Storm,Extra-tropical storm,,"Cilly, Desiree, Fanny",Kill,Belgium,BEL,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1998,1,1,1998,1,6,,,,,,,,500,"63,7604552374"
1998-0395-BGR,1998,0395,Natural,Meteorological,Extreme temperature,Cold wave,,,Affect,Bulgaria,BGR,Eastern Europe,Europe,"Montana, Sofia",,,,,No,No,,,°C,,,,,1998,11,30,1998,12,8,3,23,300,,323,,,,"63,7604552374"
1998-0436-CHE,1998,0436,Natural,Meteorological,Storm,Extra-tropical storm,,"Cilly, Desiree, Fanny",Kill,Switzerland,CHE,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1998,1,1,1998,1,6,,,,,,,,1000,"63,7604552374"
1999-0182-AUT,1999,0182,Natural,Hydrological,Flood,Riverine flood,,,Kill,Austria,AUT,Western Europe,Europe,,,,,,No,No,,,Km2,,,,,1999,5,11,1999,6,30,3,,,,,,,32000,"65,1555468615"
1999-0050-AUT,1999,0050,Natural,Hydrological,Landslide,Avalanche,,,Kill,Austria,AUT,Western Europe,Europe,"Galtuer, Valzur",,,,,No,No,,,,,,,,1999,2,24,1999,2,24,50,,10000,,10000,,,41570,"65,1555468615"
1999-0283-BEL,1999,0283,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,Belgium,BEL,Western Europe,Europe,Tournai,,,,,,,,,Kph,,,,,1999,8,14,1999,8,14,,5,900,,905,,,486,"65,1555468615"
1999-0571-BEL,1999,0571,Natural,Meteorological,Storm,Extra-tropical storm,,Lothar,Kill,Belgium,BEL,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1999,12,25,1999,12,27,2,,,,,,10000,50000,"65,1555468615"
1999-0175-BGR,1999,0175,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,Bulgaria,BGR,Eastern Europe,Europe,Zhultucha,,,,,,,,,Kph,,,,,1999,5,16,1999,5,16,,,,850,850,,,,"65,1555468615"
1999-0577-BIH,1999,0577,Natural,Meteorological,Storm,,,,Affect,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Mostar, Capljina, Citluk, Sarajevo, Trebinje, Herzegovina-Neretva",,,,,,,,,Kph,,,,,1999,12,16,1999,12,16,,,1000,90,1090,,,,"65,1555468615"
1999-0132-BLR,1999,0132,Natural,Hydrological,Flood,Riverine flood,,,Affect,Belarus,BLR,Eastern Europe,Europe,"Brest,Gomel and Minsk regions",Snowmelt,,,,No,No,119,2557,Km2,,,,"Pripyat, Dnieper, Berezina, Sozh, Nieman, Zapadnaya Dvina",1999,3,7,1999,4,10,2,,2000,,2000,,,4380,"65,1555468615"
1999-0182-CHE,1999,0182,Natural,Hydrological,Flood,Riverine flood,,,Kill,Switzerland,CHE,Western Europe,Europe,,,,,,No,No,,,Km2,,,,,1999,5,11,1999,6,30,3,,,,,,250000,330000,"65,1555468615"
1999-0263-CHE,1999,0263,Natural,Hydrological,Landslide,Avalanche,,,Kill,Switzerland,CHE,Western Europe,Europe,"Evolene (Herens Valley, Valais)",,,,,No,No,,,,,,,,1999,2,21,1999,2,21,30,,,,,,200000,685000,"65,1555468615"
1999-0571-CHE,1999,0571,Natural,Meteorological,Storm,Extra-tropical storm,,Lothar,Kill,Switzerland,CHE,Western Europe,Europe,,,,,,No,No,,210,Kph,,,,,1999,12,25,1999,12,27,12,,,,,,800000,1500000,"65,1555468615"
1999-0182-DEU,1999,0182,Natural,Hydrological,Flood,Riverine flood,,,Kill,Germany,DEU,Western Europe,Europe,Bavaria,,,,,No,Yes,,121,Km2,,,,,1999,5,11,1999,6,30,7,,100000,,100000,,75000,430000,"65,1555468615"
1999-0050-DEU,1999,0050,Natural,Hydrological,Landslide,Avalanche,,,Kill,Germany,DEU,Western Europe,Europe,,,,,,No,No,,,,,,,,1999,1,9,1999,2,26,5,,,,,,,6230,"65,1555468615"
1999-0571-DEU,1999,0571,Natural,Meteorological,Storm,Extra-tropical storm,,Lothar,Kill,Germany,DEU,Western Europe,Europe,,,,,,No,No,,180,Kph,,,,,1999,12,24,1999,12,27,15,,,,,,650000,1600000,"65,1555468615"
1999-0590-DEU,1999,0590,Natural,Meteorological,Storm,Extra-tropical storm,,Anatol,Kill,Germany,DEU,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1999,12,4,1999,12,5,3,,,,,,100000,150000,"65,1555468615"
1999-0590-DNK,1999,0590,Natural,Meteorological,Storm,Extra-tropical storm,,Anatol,Kill,Denmark,DNK,Northern Europe,Europe,,,,,,No,No,,177,Kph,,,,,1999,12,3,1999,12,5,7,,,,,,2100000,2604939,"65,1555468615"
2000-0311-AUT,2000,0311,Natural,Meteorological,Storm,,,,SigDam,Austria,AUT,Western Europe,Europe,Steiermark province,,Hail,,,,,,,Kph,,,,,2000,5,27,2000,5,27,,,,,,,,20000,"67,3557589793"
2000-9537-BIH,2000,9537,Natural,Climatological,Drought,Drought,,,Affected,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Federacija Bosne I Hercegovine, Republika Srpska provinces",Lack of rain,Heat wave,,,,,,,Km2,,,,,2000,8,,2000,,,,,,,,,,158000,"67,3557589793"
2000-0155-AUT,2000,0155,Natural,Hydrological,Landslide,Avalanche,,,Kill,Austria,AUT,Western Europe,Europe,"Kitzsteinhorn (Zell am See, Salzburg)",,,,,,,,,,,,,,2000,3,28,2000,3,28,13,,,,,,,,"67,3557589793"
2000-0029-BGR,2000,0029,Natural,Meteorological,Extreme temperature,Cold wave,,,Declar/Int,Bulgaria,BGR,Eastern Europe,Europe,"Sofia province, Sofia-city province",,,,,,,,,°C,,,,,2000,1,,2000,1,,,,,,,,,,"67,3557589793"
2000-0382-BGR,2000,0382,Natural,Meteorological,Extreme temperature,Heat wave,,,SigDis,Bulgaria,BGR,Eastern Europe,Europe,"Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces",,,,,,,,43,°C,,,,,2000,6,,2000,7,,7,,,,,,,50,"67,3557589793"
2000-0407-BGR,2000,0407,Natural,Climatological,Wildfire,Forest fire,,,Declar/Int,Bulgaria,BGR,Eastern Europe,Europe,"Haskovo, Jambol, Burgas, Stara Zagora, Plovdiv provinces",,,,,,,,36,Km2,,,,,2000,7,1,2000,7,1,7,17,,150,167,,,17600,"67,3557589793"
2000-9788-BGR,2000,9788,Natural,Climatological,Drought,Drought,,,Affected,Bulgaria,BGR,Eastern Europe,Europe,"Blagoevgrad, Burgas, Dobrich, Gabrovo, Haskovo, Jambol, Kardzhali, Kustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smoljan, Sofia, Sofia-city, Stara Zagora, Targovishte, Varna, Veliko Tarnovo, Vidin, Vratca",,,,,,,,,Km2,,,,,2000,3,,2001,,,,,,,,,,,"67,3557589793"
2000-0673-BIH,2000,0673,Natural,Biological,Epidemic,Viral disease,,Acute hepatitis A,Affect,Bosnia and Herzegovina,BIH,Southern Europe,Europe,Tensaj,,,,,,,,,Vaccinated,,,,,2000,8,29,2000,8,29,,,400,,400,,,,"67,3557589793"
2000-0072-BIH,2000,0072,Natural,Hydrological,Landslide,,,,Affect,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Velika Broda (Zenicko-dobojski district, Federacija Bosne I Hercegovine)",,,,,,,,,,,,,,2000,2,10,2000,2,10,6,3,400,,403,,,,"67,3557589793"
