Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 15 Oct 2020 02:11:23 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1945-0009-BEL,1945,0009,Natural,Biological,Epidemic,Viral disease,,Polio,Affect,Belgium,BEL,Western Europe,Europe,"Liege's province, Bruxelles",,,,,,,,,Vaccinated,,,,,1945,1,,1945,1,,,,104,,104,,,,"7,0576457596"
1946-0022-AZO,1946,0022,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Azores Islands,AZO,Southern Europe,Europe,,,,,,,,,,Kph,,,,,1946,10,,1946,10,,27,,,,,,,,"7,6446957766"
1949-0027-FRA,1949,0027,Natural,Climatological,Wildfire,,,,Kill,France,FRA,Western Europe,Europe,Landes,,,,,No,No,,,Km2,,,,,1949,8,,1949,8,,80,,,,,,,,"9,3275724919"
1951-0029-CHE,1951,0029,Natural,Hydrological,Landslide,Avalanche,,,Kill,Switzerland,CHE,Western Europe,Europe,,,,,,,,,,,,,,,1951,2,,1951,2,,92,,,,,,,20000,"10,1755336276"
1952-0034-AUT,1952,0034,Natural,Hydrological,Landslide,,,,Kill,Austria,AUT,Western Europe,Europe,,,,,,,,,,,,,,,1952,12,,1952,12,,28,,,,,,,,"10,4103536344"
1952-0005-GBR,1952,0005,Natural,Hydrological,Flood,,,,Kill,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Lynmouth,,,,,,,,,Km2,,,,,1952,8,15,1952,8,15,34,,,,,,,,"10,4103536344"
1952-0012-GBR,1952,0012,Natural,Meteorological,Fog,,,,Kill,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,London,,,,,,,,,,,,,,1952,12,4,1952,12,4,4000,,,,,,,,"10,4103536344"
1953-0001-GRC,1953,0001,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Greece,GRC,Southern Europe,Europe,"Zakinthos (Zante), Céphalonie (Ionian Islands)",,Tsunami/Tidal wave,,,,,,7,Richter,38.182,20.942,09:23,,1953,8,12,1953,8,12,476,2412,,138865,141277,,,100000,"10,48862697"
1953-0025-BEL,1953,0025,Natural,Hydrological,Flood,Coastal flood,,,Kill,Belgium,BEL,Western Europe,Europe,Ostende,,,,,,,,,Km2,,,,,1953,1,31,1953,1,31,11,,350,,350,,,,"10,48862697"
1953-0015-DFR,1953,0015,Natural,Meteorological,Storm,Convective storm,Severe storm,,OFDA,Germany Fed Rep,DFR,Western Europe,Europe,Bavaria,,,,,,,,,Kph,,,,,1953,7,,1953,7,,,,,,,,,25000,"10,48862697"
1953-0055-ESP,1953,0055,Natural,Hydrological,Flood,,,,Kill,Spain,ESP,Southern Europe,Europe,,,,,,,,,,Km2,,,,,1953,10,,1953,10,,50,,,,,,,,"10,48862697"
1954-0003-AUT,1954,0003,Natural,Hydrological,Landslide,Avalanche,,,Kill,Austria,AUT,Western Europe,Europe,Dalaas,,,,,,,,,,,,,,1954,1,11,1954,1,11,10,,,,,,,,"10,5277636377"
1954-0004-AUT,1954,0004,Natural,Hydrological,Landslide,Avalanche,,,Kill,Austria,AUT,Western Europe,Europe,"Blons, Langen Valley",,,,,,,,,,,,,,1954,1,12,1954,1,12,200,,380,,380,,,,"10,5277636377"
1954-0044-GRC,1954,0044,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Greece,GRC,Southern Europe,Europe,Sophades (Karditsa),,,,,,,,7,Richter,39.3,22.2,15:02,,1954,4,30,1954,4,30,31,200,,,200,,,3150,"10,5277636377"
