Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Mon, 19 Oct 2020 03:55:24 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1968-0077-AUS,1968,0077,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Australia,AUS,Australia and New Zealand,Oceania,"Perth, Meckering, Northam, Cunderdin",,,,Yes,,,,7,Richter,-31.566,117.071,12:58,,1968,10,14,1968,10,14,,16,3874,400,4290,,,2600,"13,605446087"
1968-0080-AUS,1968,0080,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Affect,Australia,AUS,Australia and New Zealand,Oceania,New South Wales,,,,Yes,,,,,Km2,,,,,1968,11,,1968,11,,12,,1000,800,1800,,,1000,"13,605446087"
1970-0109-AUS,1970,0109,Natural,Meteorological,Storm,Tropical cyclone,,Ada,Kill,Australia,AUS,Australia and New Zealand,Oceania,Queensland,,,,,,,,,Kph,,,,,1970,1,,1970,1,,13,,,,,,,72475,"15,1863354613"
1971-0015-AUS,1971,0015,Natural,Hydrological,Flood,Riverine flood,,,Kill,Australia,AUS,Australia and New Zealand,Oceania,"South Wales, Queensland, Victoria",,,,,,,,,Km2,,,,,1971,2,9,1971,2,9,27,,,,,,,20000,"15,8382546266"
1971-0096-AUS,1971,0096,Natural,Meteorological,Storm,Tropical cyclone,,Althea,SigDam,Australia,AUS,Australia and New Zealand,Oceania,Townsville area (Queensland),,,,,,,,,Kph,,,,,1971,12,24,1971,12,24,3,,,,,,,119219,"15,8382546266"
1972-0059-FJI,1972,0059,Natural,Meteorological,Storm,Tropical cyclone,,Bebe,Affect,Fiji,FJI,Melanesia,Oceania,Much of nation,,,,Yes,,,,,Kph,,,,,1972,10,24,1972,10,24,3,,120000,,120000,,,22500,"16,3565247542"
1973-0051-AUS,1973,0051,Natural,Hydrological,Flood,,,,Kill,Australia,AUS,Australia and New Zealand,Oceania,"Queensland, New South Wales",,,,Yes,,,,,Km2,,,,,1973,12,,1973,12,,12,,11000,1000,12000,,,71000,"17,3669860177"
1973-0021-FJI,1973,0021,Natural,Meteorological,Storm,Tropical cyclone,,Juliette,Affect,Fiji,FJI,Melanesia,Oceania,"Savusavu, Bua",,,,Yes,,,,,Kph,,,,,1973,4,3,1973,4,3,,,1150,,1150,,,,"17,3669860177"
1973-0052-FJI,1973,0052,Natural,Meteorological,Storm,Tropical cyclone,,Lottie,Kill,Fiji,FJI,Melanesia,Oceania,"Kadavu, South Lau group",,,,Yes,,,,,Kph,,,,,1973,12,9,1973,12,9,59,,5000,,5000,,,,"17,3669860177"
1974-0061-AUS,1974,0061,Natural,Meteorological,Storm,Tropical cyclone,,Tracy,Kill,Australia,AUS,Australia and New Zealand,Oceania,Darwin,,,,Yes,,,,,Kph,,,,,1974,12,25,1974,12,25,65,640,45000,,45640,,,800000,"19,2868744704"
1974-0091-AUS,1974,0091,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,Kill,Australia,AUS,Australia and New Zealand,Oceania,Brisbane (Queensland),,,,,,,,,Kph,,,,,1974,1,,1974,1,,11,,,,,,,296717,"19,2868744704"
1974-9100-AUS,1974,9100,Natural,Climatological,Drought,Drought,,,,Australia,AUS,Australia and New Zealand,Oceania,Central New South Wales,,,,,,,,45000,Km2,,,,,1974,12,,1975,1,,,,,,,,,,"19,2868744704"
1974-0096-AUS,1974,0096,Natural,Hydrological,Flood,,,,Kill,Australia,AUS,Australia and New Zealand,Oceania,Brisbane,,,,,,,,,Km2,,,,,1974,1,,1974,1,,14,,,,,,,5972,"19,2868744704"
1975-0131-AUS,1975,0131,Natural,Meteorological,Storm,Tropical cyclone,,Joan,Govern,Australia,AUS,Australia and New Zealand,Oceania,Western,,,,,,,,,Kph,,,,,1975,12,,1975,12,,,,,,,,,63861,"21,0503075152"
1975-0102-AUS,1975,0102,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Australia,AUS,Australia and New Zealand,Oceania,Kangaroo Isl.,,,,,,,,,Km2,,,,,1975,1,,1975,1,,,,,,,,,,"21,0503075152"
1975-0103-AUS,1975,0103,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Australia,AUS,Australia and New Zealand,Oceania,Mildura region,,,,,,,,,Km2,,,,,1975,1,,1975,1,,,,,,,,,,"21,0503075152"
1975-0130-AUS,1975,0130,Natural,Hydrological,Flood,,,,Govern,Australia,AUS,Australia and New Zealand,Oceania,Sydney,,,,,,,,,Km2,,,,,1975,3,,1975,3,,,,,,,,,54684,"21,0503075152"
1975-0015-FJI,1975,0015,Natural,Meteorological,Storm,Tropical cyclone,,Val,Affect,Fiji,FJI,Melanesia,Oceania,Lau group,,,,Yes,,,,,Kph,,,,,1975,1,30,1975,1,30,,,23000,,23000,,,1000,"21,0503075152"
1976-0128-AUS,1976,0128,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Govern,Australia,AUS,Australia and New Zealand,Oceania,"Too-Woomba, Queensland",,,,,,,,,Kph,,,,,1976,1,10,1976,1,10,,,,,,,,13037,"22,2596013891"
1976-0129-AUS,1976,0129,Natural,Meteorological,Storm,Convective storm,Tornado,,Govern,Australia,AUS,Australia and New Zealand,Oceania,"Sandon, Castlemaine, Mortlake (Victoria)",,,,,,,,,Kph,,,,,1976,11,2,1976,11,2,,,,,,,,7279,"22,2596013891"
1976-0163-AUS,1976,0163,Natural,Meteorological,Storm,Tropical cyclone,,David,Govern,Australia,AUS,Australia and New Zealand,Oceania,Queensland,,,,,,,,,Kph,,,,,1976,1,,1976,1,,,,,,,,,4237,"22,2596013891"
1976-0164-AUS,1976,0164,Natural,Meteorological,Storm,Tropical cyclone,,Beth,Govern,Australia,AUS,Australia and New Zealand,Oceania,Bundaberg Qld,,,,,,,,,Kph,,,,,1976,2,,1976,2,,,,,,,,,8257,"22,2596013891"
1976-0165-AUS,1976,0165,Natural,Meteorological,Storm,Tropical cyclone,,Ted,Govern,Australia,AUS,Australia and New Zealand,Oceania,Queensland,,,,,,,,,Kph,,,,,1976,12,,1976,12,,,,,,,,,36177,"22,2596013891"
